Num,Age,Gender,Group,recall,ima,rum,dis,rum_n,dis_n,rum_R,rum_O,rum_P,dis_R,dis_O,dis_P,rum_I,dis_I,rum_△R,rum_△O,rum_△P,rum_△I,dis_△R,dis_△O,dis_△P,dis_△I
1,20,2,A',4,3,3,1.5,2,1,3.833333333,3.5,2.333333333,4.166666667,4,2.333333333,1,1.333333333,0.833333333,0.5,-0.666666667,-1,2.666666667,2.5,0.833333333,0.333333333
2,20,1,B',2.75,2,3,1,3,1,2.166666667,1,1.666666667,2.166666667,1.833333333,2,1,1,-0.833333333,-2,-1.333333333,-2,1.166666667,0.833333333,1,0
3,18,2,A',2.75,1.5,2,1.5,2,1,2.5,1.666666667,1.666666667,3.5,2.333333333,2.333333333,1.333333333,1.333333333,0.5,-0.333333333,-0.333333333,-0.666666667,2,0.833333333,0.833333333,0.333333333
4,19,1,B',4.25,2.5,4.5,2,3,2,3,3,3,2.833333333,3.333333333,3,2.333333333,1.333333333,-1.5,-1.5,-1.5,-0.666666667,0.833333333,1.333333333,1,-0.666666667
5,19,1,A',3.25,2,2.5,2,3,3,3.333333333,1.833333333,1.166666667,3.666666667,2,1.666666667,1.333333333,1.333333333,0.833333333,-0.666666667,-1.333333333,-1.666666667,1.666666667,0,-0.333333333,-1.666666667
6,18,1,B',2,1.5,1.5,1,3,1,1.833333333,2.166666667,2.5,2.166666667,2.666666667,2.5,1.333333333,1.333333333,0.333333333,0.666666667,1,-1.666666667,1.166666667,1.666666667,1.5,0.333333333
7,20,1,A',4.25,2.5,3.5,1,4,1,3.5,2,1.833333333,4,1.666666667,1.666666667,1.333333333,1.333333333,0,-1.5,-1.666666667,-2.666666667,3,0.666666667,0.666666667,0.333333333
8,20,2,B',3.5,2.5,5,3,4,2,2.833333333,1.833333333,2.666666667,3.833333333,2.5,2,1.333333333,1.666666667,-2.166666667,-3.166666667,-2.333333333,-2.666666667,0.833333333,-0.5,-1,-0.333333333
9,22,2,A',1.75,1.5,2,1,3,1,1.833333333,1,1.166666667,1.833333333,1,1.166666667,1,1,-0.166666667,-1,-0.833333333,-2,0.833333333,0,0.166666667,0
11,19,2,A',3,2.5,3,1,2,1,2.666666667,1.166666667,1,2.5,1.5,1.333333333,1,1,-0.333333333,-1.833333333,-2,-1,1.5,0.5,0.333333333,0
12,18,2,B',2.75,1.5,1.5,1.5,1,1,3.333333333,1,1.166666667,3.333333333,1,1.166666667,1,1,1.833333333,-0.5,-0.333333333,0,1.833333333,-0.5,-0.333333333,0
13,18,1,A',4,3,3.5,1.5,2,3,3.5,2.166666667,2.666666667,4.166666667,3.166666667,2.5,1.666666667,1,0,-1.333333333,-0.833333333,-0.333333333,2.666666667,1.666666667,1,-2
14,22,2,B',3,2,3.5,1,2,1,2.333333333,2.333333333,1.166666667,2.666666667,2.5,1.333333333,1,1,-1.166666667,-1.166666667,-2.333333333,-1,1.666666667,1.5,0.333333333,0
15,20,2,A',3,2,3.5,1.5,2,1,3.166666667,1,1.166666667,3.166666667,1.333333333,1.333333333,1.333333333,1.333333333,-0.333333333,-2.5,-2.333333333,-0.666666667,1.666666667,-0.166666667,-0.166666667,0.333333333
16,19,1,B',2.5,1.5,2,1,1,1,3,2.5,1.666666667,3.166666667,2.333333333,1.166666667,1,1,1,0.5,-0.333333333,0,2.166666667,1.333333333,0.166666667,0
17,25,2,A',1.75,1,1.5,1.5,1,2,1.5,1.166666667,1.333333333,1.333333333,1.333333333,1,1.333333333,1,0,-0.333333333,-0.166666667,0.333333333,-0.166666667,-0.166666667,-0.5,-1
18,19,2,B',2.75,2.5,2,1,1,1,2.666666667,1.833333333,1.5,2.833333333,1.166666667,1.833333333,1,1,0.666666667,-0.166666667,-0.5,0,1.833333333,0.166666667,0.833333333,0
19,20,2,A',5,3,5,1,2,1,5,1,1,4.833333333,1.166666667,1,1,1,0,-4,-4,-1,3.833333333,0.166666667,0,0
20,21,2,B',3.25,2.5,4.5,1,2,1,3.166666667,1.333333333,1.666666667,3.166666667,1.333333333,1.166666667,1,1,-1.333333333,-3.166666667,-2.833333333,-1,2.166666667,0.333333333,0.166666667,0
21,21,2,A',2.5,2,2,1.5,2,2,2.833333333,2.666666667,2.166666667,3,3.5,2.5,1.333333333,1,0.833333333,0.666666667,0.166666667,-0.666666667,1.5,2,1,-1
22,20,2,B',2.5,2,3,1.5,2,1,3,1.833333333,1.666666667,2.166666667,1.333333333,1.666666667,1,1,0,-1.166666667,-1.333333333,-1,0.666666667,-0.166666667,0.166666667,0
23,23,1,A',3.5,3,2.5,2,2,1,4.833333333,3.666666667,2.666666667,4.166666667,3.833333333,1.666666667,1,1.666666667,2.333333333,1.166666667,0.166666667,-1,2.166666667,1.833333333,-0.333333333,0.666666667
24,20,2,B',3.75,2,4.5,2.5,4,1,3.166666667,2.5,1.833333333,3.5,2,1.666666667,1,2,-1.333333333,-2,-2.666666667,-3,1,-0.5,-0.833333333,1
25,24,2,A',4.5,2,4.5,1.5,3,1,3,2,1.166666667,3.833333333,1.5,1.5,1,1,-1.5,-2.5,-3.333333333,-2,2.333333333,0,0,0
26,23,1,B',3.5,3,3.5,1.5,3,2,3,2.666666667,3,3.5,2.666666667,2.333333333,2.333333333,1,-0.5,-0.833333333,-0.5,-0.666666667,2,1.166666667,0.833333333,-1
27,20,2,A',3.5,1.5,4.5,1.5,4,1,3.333333333,1.5,1.833333333,3.333333333,1.666666667,2.5,1.333333333,1.666666667,-1.166666667,-3,-2.666666667,-2.666666667,1.833333333,0.166666667,1,0.666666667
28,20,1,B',3.5,1.5,3.5,2,2,2,3.25,2.833333333,2.666666667,3.333333333,3.166666667,3.166666667,1,1.666666667,-0.25,-0.666666667,-0.833333333,-1,1.333333333,1.166666667,1.166666667,-0.333333333
29,20,2,A',2.75,1.5,3.5,1,3,1,2.166666667,1.5,1.333333333,3.333333333,2.666666667,2.666666667,1.333333333,2,-1.333333333,-2,-2.166666667,-1.666666667,2.333333333,1.666666667,1.666666667,1
30,18,1,B',3.75,3,2,2.5,1,4,4.333333333,2.166666667,2,4.5,1.5,1.5,2,1.333333333,2.333333333,0.166666667,0,1,2,-1,-1,-2.666666667
31,19,2,A',3.25,2,2.5,1,2,1,3,1.666666667,1.333333333,3.333333333,2.833333333,1.833333333,1,1,0.5,-0.833333333,-1.166666667,-1,2.333333333,1.833333333,0.833333333,0
32,19,2,B',4.5,2.5,2.5,2.5,4,2,3.666666667,3.5,3,3.166666667,3,2,1.333333333,1.666666667,1.166666667,1,0.5,-2.666666667,0.666666667,0.5,-0.5,-0.333333333
33,20,2,A',2.5,1.5,3,1,3,1,2.166666667,1,1.166666667,3.166666667,1.166666667,1.166666667,1,1,-0.833333333,-2,-1.833333333,-2,2.166666667,0.166666667,0.166666667,0
34,19,2,B',3,2,2,1,3,1,4.333333333,1.166666667,1.333333333,3.333333333,1.166666667,1.333333333,1,1,2.333333333,-0.833333333,-0.666666667,-2,2.333333333,0.166666667,0.333333333,0
35,19,2,A',3.5,1.5,2.5,1,2,1,2.333333333,3.833333333,1.833333333,1.666666667,2.833333333,3,1,1,-0.166666667,1.333333333,-0.666666667,-1,0.666666667,1.833333333,2,0
36,23,1,B',3.25,2,2.5,1.5,4,2,2,1.333333333,1.333333333,3.166666667,2.166666667,2.166666667,1,1,-0.5,-1.166666667,-1.166666667,-3,1.666666667,0.666666667,0.666666667,-1
37,21,2,A',3.5,2.5,4,1.5,2,1,3.666666667,2.333333333,2.333333333,3.333333333,2,2.25,1,1.333333333,-0.333333333,-1.666666667,-1.666666667,-1,1.833333333,0.5,0.75,0.333333333
38,18,2,B',4.75,3,4,1.5,4,1,4.333333333,1.166666667,1.666666667,3.833333333,1.333333333,1.833333333,1,1,0.333333333,-2.833333333,-2.333333333,-3,2.333333333,-0.166666667,0.333333333,0
