X,M,Y
1,-4,1
1,-1,15
1,-2,-5
1,13,1
1,7,11
1,-7,-9
1,-15,-12
1,-19,1
1,3,2
1,10,11
1,-10,-6
1,-26,4
1,4,4
1,3,1
1,-19,5
0,-11,-3
0,3,-12
0,-11,-10
1,15,6
0,-16,-26
0,-4,-18
1,6,-10
0,-28,-12
0,-8,-2
0,-4,-17
0,-17,0
1,-15,-5
0,-7,-9
0,-4,-15
0,-9,4
0,-5,-9
0,-15,-6
0,-18,2
0,-6,-15
0,-2,-1
1,-11,-4
0,-25,-19
1,-15,-5
0,-3,-12
0,-3,-5
0,-7,-4
1,-3,-17
1,-11,-2
0,-8,-11
0,-18,-17
1,1,15
0,-10,-22
0,-43,-33
1,-1,-1
0,-7,-2
1,-9,2
1,-11,-6
0,6,-10
0,-10,-14
0,-6,-23
0,-6,-6
1,-7,-6
1,-4,-8
0,4,1
0,-15,-14
1,-9,-18
1,9,-4
1,2,20
0,-9,-22
1,-10,0
0,-4,-21
1,-11,0
1,-10,-2
0,-1,-5
1,-5,-2
1,-21,-13
1,-2,-2
1,15,2
1,14,12
1,-7,5
0,-13,-9
0,-27,-17
0,-10,-13
0,-8,-12
0,-2,-8
1,6,6
1,-13,-7
0,-35,-1
